13, 32
12, 27
11, 24
12, 25
13, 26
16, 34
19, 40
21, 44
22, 46
20, 46
16, 37
14, 36
13, 40
12, 37
13, 34
12, 36
14, 34
13, 34
13, 34
12, 34
25, 35
19, 34
16, 31
17, 26
23, 23
26, 28
25, 35
12, 34
11, 35
18, 35
36, 33
35, 28
37, 33
32, 32
32, 33
32, 30
30, 21
33, 20
33, 24
32, 25
38, 25
37, 24
35, 23
32, 20
30, 28
27, 36
25, 40
29, 42
27, 43
29, 45
42, 37
45, 24
45, 31
43, 32
42, 28
43, 24
43, 23
42, 24
40, 24
38, 24
27, 27
23, 23
18, 18
23, 23
25, 32
19, 36
16, 38
29, 38
26, 36
27, 42
20, 45
24, 41
34, 31
34, 29
33, 28
33, 28
34, 29
35, 31
34, 32
34, 32
16, 27
16, 26
16, 25
15, 23
16, 28
16, 35
17, 37
19, 38
25, 40
26, 43
22, 40
15, 29
14, 29
14, 28
14, 29
15, 29
15, 28
15, 27
16, 28
16, 29
