13, 37
13, 34
15, 28
15, 26
16, 25
16, 25
16, 26
16, 28
16, 31
15, 34
15, 38
15, 43
14, 47
14, 49
14, 51
14, 51
14, 50
14, 46
13, 43
12, 40
26, 31
26, 27
26, 23
26, 24
27, 25
27, 26
27, 26
27, 26
27, 26
26, 29
28, 33
28, 38
28, 42
26, 44
26, 46
26, 47
26, 46
25, 44
25, 40
25, 36
34, 26
33, 28
33, 30
33, 31
33, 32
33, 33
34, 33
34, 33
35, 33
35, 32
35, 32
35, 31
35, 34
35, 36
35, 38
34, 39
34, 39
34, 36
34, 31
34, 27
26, 29
26, 30
25, 32
25, 33
25, 34
26, 35
26, 35
26, 35
27, 35
27, 35
28, 34
28, 33
27, 32
28, 31
27, 30
27, 29
27, 29
27, 28
27, 28
26, 28
15, 29
14, 30
15, 31
14, 32
14, 33
14, 34
14, 34
14, 34
14, 34
14, 33
15, 33
15, 32
15, 31
15, 30
14, 29
14, 28
14, 28
14, 27
15, 27
15, 28
